<<<<<<< HEAD
test,subject,comments,csvFile,lvmFile,plateIndex,rSheenIndex,rFootIndex,offsetPlateX,offsetPlateY,offsetPlateZ
Evandro|Take 2015-06-02 12.10.29 AM, Evandro, First try walking, /home/garamizo/Documents/MATLAB/vibratingPlatform/sample data files/stance/Take 2015-06-02 12.10.29 AM.csv, /home/garamizo/Documents/MATLAB/vibratingPlatform/sample data files/stance/raw_1.lvm, 47, 3, 25, 0.033625, 0.000653, -0.000157
Evandro | Take 2015-06-02 12.10.29 AM | first stance test, Evandro, first stance test, /home/garamizo/Documents/MATLAB/vibratingPlatform/sample data files/stance/Take 2015-06-02 12.10.29 AM.csv, /home/garamizo/Documents/MATLAB/vibratingPlatform/sample data files/stance/raw_1.lvm, 47, 3, 25, 0.033625, 0.000653, -0.000157
Evandro | Take 2015-06-04 02.30.28 PM | Test 1. Run 1, Evandro, Test 1. Run 1, /home/garamizo/Downloads/june4/Take 2015-06-04 02.30.28 PM.csv, /home/garamizo/Downloads/june4/raw.lvm, 3, 10, 17, 0.033625, 0.000653, -0.000157
=======
test,subject,comments,csvFile,lvmFile,plateIndex,rSheenIndex,rFootIndex,offsetPlateX,offsetPlateY,offsetPlateZ
Evandro|Take 2015-06-02 12.10.29 AM, Evandro, First try walking, /home/garamizo/Documents/MATLAB/vibratingPlatform/sample data files/stance/Take 2015-06-02 12.10.29 AM.csv, /home/garamizo/Documents/MATLAB/vibratingPlatform/sample data files/stance/raw_1.lvm,47,3,25,0.033625,0.000653,-0.000157
Evandro | Take 2015-06-02 12.10.29 AM | first stance test, Evandro, first stance test, /home/garamizo/Documents/MATLAB/vibratingPlatform/sample data files/stance/Take 2015-06-02 12.10.29 AM.csv, /home/garamizo/Documents/MATLAB/vibratingPlatform/sample data files/stance/raw_1.lvm,47,3,25,0.033625,0.000653,-0.000157
Evandro | Take 2015-06-02 12.10.29 AM | some as above. on windows, Evandro, some as above. on windows, C:\Users\Guilherme\Documents\MATLAB\vibratingPlatform\sample data files\stance\Take 2015-06-02 12.10.29 AM.csv, C:\Users\Guilherme\Documents\MATLAB\vibratingPlatform\sample data files\stance\raw_1.lvm, 47, 3, 25, 0.033625, 0.000653, -0.000157
Evandro | Take 2015-06-02 12.10.29 AM | First stance. Fast, Evandro, First stance. Fast, C:\Users\Guilherme\Documents\MATLAB\vibratingPlatform\sample data files\stance\Take 2015-06-02 12.10.29 AM.csv, C:\Users\Guilherme\Documents\MATLAB\vibratingPlatform\sample data files\stance\raw_1.lvm, 25, 3, 28, 0.033625, 0.000653, -0.000157
>>>>>>> refs/remotes/origin/master
Evandro | Take 2015-06-05 04.19.07 PM | Day 2, Evandro, Day 2, C:\Users\rastgaar\Google Drive\HIRoLab - Ruffus\VibratingPlatform\GaitTests\june5b\Take 2015-06-05 04.19.07 PM.csv, C:\Users\rastgaar\Google Drive\HIRoLab - Ruffus\VibratingPlatform\GaitTests\june5b\raw_1.lvm, 3, 11, 19, 0.033625, 0.000653, -0.000157
Evandro | Take 2015-06-05 04.19.07 PM | 2nd day, Evandro, 2nd day, /home/garamizo/Downloads/june5b/Take 2015-06-05 04.19.07 PM.csv, /home/garamizo/Downloads/june5b/raw_1.lvm, 3, 11, 19, 0.033625, 0.000653, -0.000157
Evandro | Take 2015-06-05 04.19.07 PM | run 2b, Evandro, run 2b, /home/garamizo/Downloads/june5b/Take 2015-06-05 04.19.07 PM.csv, /home/garamizo/Downloads/june5b/raw_1.lvm, 3, 11, 19, 0.033625, 0.000653, -0.000157
Evandro | Take 2015-06-05 04.22.39 PM | run 2b, Evandro, run 2b, /home/garamizo/Downloads/june5b/Take 2015-06-05 04.22.39 PM.csv, /home/garamizo/Downloads/june5b/raw_2.lvm, 3, 11, 19, 0.033625, 0.000653, -0.000157
Evandro | Take 2015-06-05 04.25.31 PM | run 2c, Evandro, run 2c, /home/garamizo/Downloads/june5b/Take 2015-06-05 04.25.31 PM.csv, /home/garamizo/Downloads/june5b/raw_3.lvm, 3, 11, 19, 0.033625, 0.000653, -0.000157
Evandro | Take 2015-06-05 04.28.19 PM | run 2d, Evandro, run 2d, /home/garamizo/Downloads/june5b/Take 2015-06-05 04.28.19 PM.csv, /home/garamizo/Downloads/june5b/raw_4.lvm, 3, 11, 19, 0.033625, 0.000653, -0.000157
Evandro | Take 2015-06-05 04.28.19 PM | testing code, Evandro, testing code, C:\Users\Guilherme\Downloads\june5b\Take 2015-06-05 04.28.19 PM.csv, C:\Users\Guilherme\Downloads\june5b\raw_4.lvm, 3, 11, 19, 0.033625, 0.000653, -0.000157
Ev | Take 2015-06-05 04.28.19 PM | testing again, Ev, testing again, C:\Users\Guilherme\Downloads\june5b\Take 2015-06-05 04.28.19 PM.csv, C:\Users\Guilherme\Downloads\june5b\raw_4.lvm, 3, 11, 19, 0.033625, 0.000653, -0.000157
Evandro | Take 2015-04-21 03.53.11 PM | Bone, Evandro, Bone, C:\Users\rastgaar\Google Drive\HIRoLab - Ruffus\VibratingPlatform\GaitTests\test21April\Take 2015-04-21 03.53.11 PM.csv, C:\Users\rastgaar\Google Drive\HIRoLab - Ruffus\VibratingPlatform\GaitTests\test21April\raw_9.lvm, 3, 3, 3, 0.033625, 0.000653, -0.000157
??? | Take 2015-04-08 01.20.44 PM | test, ???, test, C:\Users\rastgaar\Google Drive\HIRoLab - Ruffus\VibratingPlatform\GaitTests\test8April\Take 2015-04-08 01.20.44 PM.csv, C:\Users\rastgaar\Google Drive\HIRoLab - Ruffus\VibratingPlatform\GaitTests\test8April\raw_1.lvm, 3, 3, 3, 0.033625, 0.000653, -0.000157
? | Take 2015-04-08 12.51.54 AM | ?, ?, ?, C:\Users\rastgaar\Google Drive\HIRoLab - Ruffus\VibratingPlatform\GaitTests\test8April\Take 2015-04-08 12.51.54 AM.csv, C:\Users\rastgaar\Google Drive\HIRoLab - Ruffus\VibratingPlatform\GaitTests\test8April\raw_2.lvm, 3, 3, 3, 0.033625, 0.000653, -0.000157
? | Take 2015-06-02 12.10.29 AM | ?, ?, ?, C:\Users\rastgaar\Documents\MATLAB\vibratingPlatform\sample data files\stance\Take 2015-06-02 12.10.29 AM.csv, C:\Users\rastgaar\Documents\MATLAB\vibratingPlatform\sample data files\stance\raw_1.lvm, 3, 3, 3, 0.033625, 0.000653, -0.000157
